city,state,country,population,Lat,Lon,hoods_city_id,hoods_city_name
Aventura,FL,,29475,25.9564812,-80.1392121,1119,Aventura
Issaquah,WA,,29419,47.53004315,-122.0323616,1337,Issaquah
Glen Ellyn,IL,,27450,41.87628861,-88.06760788,1504,Glen Ellyn
University Park,FL,,26995,25.74609555,-80.36842346,1533,University Park
Langley,,CA,25081,49.09680099,-122.6561737,2528,Langley
Fremantle,,AU,24835,-32.05619448,115.7472065,2960,Perth
Cutler Bay,FL,,24781,25.5783,-80.3377,984,Cutler Bay
Belmont,MA,,24729,42.39588998,-71.17865467,1687,Belmont
Palmetto Bay,FL,,24469,25.6217715,-80.3247748,1793,Palmetto Bay
Coral Terrace,FL,,24376,25.74393085,-80.30250549,1707,Coral Terrace
Newport,RI,,23013,41.48917682,-71.31134374,1692,Newport
Woodburn,OR,,22900,45.14371208,-122.8553296,1734,Woodburn
The Crossings,FL,,22758,25.66504697,-80.4006958,1848,The Crossings
Laguna Beach,CA,,22723,33.54082236,-117.780304,1851,Laguna Beach
Miami Lakes,FL,,22688,25.9087056,-80.3086619,1401,Miami Lakes
Leisure City,FL,,22655,25.49224848,-80.4309082,1865,Leisure City
Oak Harbor ,WA,,22638,48.2931559,-122.6432245,1902,Oak Harbor
Princeton,FL,,22038,25.53733018,-80.40859222,1906,Princeton
Maryborough,,AU,21777,-25.53838343,152.7022362,2939,Maryborough
Roseburg,OR,,21050,43.216505,-123.3417381,1977,Roseburg
Venice,FL,,20770,27.0997775,-82.4542632,2010,Venice
Rocky River,OH,,20213,41.47220666,-81.84743292,2068,Rocky River
Klamath Falls,OR,,20065,42.22550258,-121.7808979,1999,Klamath Falls
Hialeah Gardens,FL,,19930,25.8650961,-80.3244957,1927,Hialeah Gardens
Ives Estates,FL,,19525,25.96236621,-80.17616272,2128,Ives Estates
Ypsilanti,MI,,19435,42.24072722,-83.61330414,2139,Ypsilanti
Pinecrest,FL,,19432,25.6622835,-80.3070395,2309,Pinecrest
Central Falls,RI,,19167,41.89167414,-71.39177006,2143,Central Falls
